BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
32;256;1;1;a;a;7;0.09844;0.11335685714285715;0.026917180216536867;5.898456;5.329190428571429;1.295464;0.0;1.0;580644;254;254;26.215359609914668;0.225
32;256;1;1;b;b;7;0.099984;0.113771;0.02599538534047919;5.807369;5.296156571428571;1.295464;0.0;1.0;580644;254;254;25.81052968474956;0.225
32;256;1;1;c;c;7;0.099101;0.11406799999999999;0.025122038525300195;5.859125;5.272467571428572;1.295464;4624.0;1.0;580644;254;254;5.590256405081684;1.0480938628158845
32;256;1;1;d;d;7;0.098458;0.11303785714285715;0.025588445748218554;5.897402;5.327090714285714;1.295464;4624.0;1.0;580644;254;254;5.626764711856833;1.0480938628158845
32;256;1;2;a;a;7;0.098202;0.11263828571428572;0.024875706728414673;5.912775;5.338380714285714;1.295464;0.0;1.0;580644;254;254;26.278894523533125;0.225
32;256;1;2;b;b;7;0.098384;0.11272285714285714;0.02469742869496452;5.901813;5.332249857142857;1.295464;0.0;1.0;580644;254;254;26.230281346560417;0.225
32;256;1;2;c;c;7;0.101734;0.11343414285714284;0.02411024023403453;5.70745;5.288521142857143;1.295464;8976.0;1.0;580644;254;254;5.360017300017693;1.064823508699862
32;256;1;2;d;d;7;0.101325;0.11312799999999999;0.024424823165514763;5.730522;5.308001571428571;1.295464;8976.0;1.0;580644;254;254;5.38165309647175;1.064823508699862
32;256;1;8;a;a;7;0.10315;0.11420342857142858;0.024571437611294027;5.629101;5.257257428571429;1.295464;0.0;1.0;580644;254;254;25.018322830828893;0.225
32;256;1;8;b;b;7;0.099218;0.11339557142857142;0.02509439433324465;5.852228;5.302573714285714;1.295464;0.0;1.0;580644;254;254;26.009796609486184;0.225
32;256;1;8;c;c;7;0.102144;0.11402357142857143;0.024338394481813724;5.684563;5.262522142857143;1.295464;35088.0;1.0;580644;254;254;5.274592731829574;1.0777254773854423
