BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
16;256;1;1;a;a;10;0.1244725;0.1542394;0.10218742278143193;4.6825525;4.5846703;1.2856025;0.0;1.0;580644;254;254;20.732611621040796;0.225
16;256;1;1;b;b;10;0.10756299999999999;0.176674;0.1298687146638652;5.438157;4.4710518;1.2856025;0.0;1.0;580644;254;254;23.991893123099953;0.225
16;256;1;1;c;c;10;0.1087745;0.144756;0.06665236201866116;5.3579655;4.6393858;1.2856025;1296.0;1.0;580644;254;254;5.42259444998598;0.9844093313440934
16;256;1;1;d;d;10;0.1013855;0.1208658;0.03475955678594818;5.728183;5.0972411;1.2856025;1296.0;1.0;580644;254;254;5.817794457787357;0.9844093313440934
16;256;1;2;a;a;10;0.098194;0.1432183;0.10243627007944449;5.9132365;4.966772799999999;1.2856025;0.0;1.0;580644;254;254;26.281035501150782;0.225
16;256;1;2;b;b;10;0.0979785;0.1882338;0.14930386339110957;5.926245;4.5417857;1.2856025;0.0;1.0;580644;254;254;26.33883964339115;0.225
16;256;1;2;c;c;10;0.098637;0.1597224;0.10865570216892541;5.886976499999999;4.7073926;1.2856025;2448.0;1.0;580644;254;254;5.793039123249896;1.016163581888948
16;256;1;2;d;d;10;0.0978945;0.12810000000000002;0.04995343254138465;5.931332;5.0337636;1.2856025;2448.0;1.0;580644;254;254;5.836977562580125;1.016163581888948
16;256;1;8;a;a;10;0.0984785;0.1215449;0.03823946597561217;5.8961594999999996;5.1286583;1.2856025;0.0;1.0;580644;254;254;26.205110760216698;0.225
16;256;1;8;b;b;10;0.0981375;0.11754229999999999;0.03327681429080079;5.916632;5.230912099999999;1.2856025;0.0;1.0;580644;254;254;26.296166093491273;0.225
16;256;1;8;c;c;10;0.100398;0.1437193;0.09444733296752099;5.783469;4.9199401;1.2856025;9360.0;1.0;580644;254;254;5.553736130201798;1.041356997331344
16;256;1;8;d;d;10;0.0986115;0.15640559999999998;0.10970102543448614;5.88823;4.8016755;1.2856025;9360.0;1.0;580644;254;254;5.654350658898809;1.041356997331344
16;256;20;1;a;a;10;0.45364649999999995;0.4550016;0.004585182007777258;172.88516399999997;172.3856399;163.8358955;0.0;1.0;78428736;216;216;691.9519229179549;0.2498513674197384
16;256;20;1;b;b;10;0.42888950000000003;0.43002590000000007;0.004240608799322205;182.86474950000002;182.39705759999998;163.8358955;0.0;1.0;78428736;216;216;731.8938048145268;0.2498513674197384
16;256;20;1;c;c;10;0.1565965;0.1570271;0.0022883087617034717;500.8325055;499.55354109999996;163.8358955;12544.0;1.0;78428736;216;216;16.892127218679853;29.648916094067552
16;256;20;1;d;d;10;0.3531255;0.3553382;0.005349837127323484;222.09886;220.75993239999997;163.8358955;12544.0;1.0;78428736;216;216;7.4909571809455855;29.648916094067552
16;256;20;2;a;a;10;0.541767;0.5433422;0.005201695851675043;144.76464900000002;144.356693;163.8358955;0.0;1.0;78428736;216;216;579.4032637646811;0.2498513674197384
16;256;20;2;b;b;10;0.538127;0.5409666;0.009492964660444317;145.7438665;145.0174361;163.8358955;0.0;1.0;78428736;216;216;583.3224647713272;0.2498513674197384
16;256;20;2;c;c;10;0.15799649999999998;0.1590625;0.0035331864199016853;496.39446699999996;493.27622060000004;163.8358955;16128.0;1.0;78428736;216;216;11.184855360720016;44.38102998696219
