BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
8;512;20;2;c;c;1;0.651813;0.651813;;574.551326;574.551326;746.194192;10752.0;1.0;374499904;472;472;30.564250789720365;18.79814253222138
8;512;20;2;d;d;1;2.533885;2.533885;;147.796736;147.796736;746.194192;10752.0;1.0;374499904;472;472;7.8623047218007125;18.79814253222138
8;512;20;8;a;a;1;7.721862;7.721862;;48.498653;48.498653;746.194192;0.0;1.0;374499904;472;472;194.11001543410126;0.2498513674197384
8;512;20;8;b;b;1;7.837594;7.837594;;47.78251;47.78251;746.194192;0.0;1.0;374499904;472;472;191.24373525855003;0.2498513674197384
8;512;20;8;c;c;1;2.763926;2.763926;;135.495618;135.495618;746.194192;19968.0;1.0;374499904;472;472;3.732383573221569;36.30270863836017
8;512;20;8;d;d;1;2.761882;2.761882;;135.595928;135.595928;746.194192;19968.0;1.0;374499904;472;472;3.735145817236218;36.30270863836017
8;1024;1;1;a;a;1;0.153883;0.153883;;61.087606;61.087606;20.386633;0.0;1.0;9400356;1022;1022;271.50081555467466;0.225
8;1024;1;1;b;b;1;0.110122;0.110122;;85.36342;85.36342;20.386633;0.0;1.0;9400356;1022;1022;379.39158387969707;0.225
8;1024;1;1;c;c;1;0.112781;0.112781;;83.350679;83.350679;20.386633;400.0;1.0;9400356;1022;1022;95.15375816848582;0.8759562470833625
8;1024;1;1;d;d;1;0.143104;0.143104;;65.688979;65.688979;20.386633;400.0;1.0;9400356;1022;1022;74.99116726296957;0.8759562470833625
8;1024;1;2;a;a;1;0.129003;0.129003;;72.869167;72.869167;20.386633;0.0;1.0;9400356;1022;1022;323.86347604319275;0.225
8;1024;1;2;b;b;1;0.10711;0.10711;;87.763238;87.763238;20.386633;0.0;1.0;9400356;1022;1022;390.0603118289609;0.225
8;1024;1;2;c;c;1;0.099715;0.099715;;94.27205;94.27205;20.386633;720.0;1.0;9400356;1022;1022;101.04975179260893;0.9329289206540259
8;1024;1;2;d;d;1;0.101222;0.101222;;92.868341;92.868341;20.386633;720.0;1.0;9400356;1022;1022;99.54531623560095;0.9329289206540259
8;1024;1;8;a;a;1;0.472371;0.472371;;19.900358;19.900358;20.386633;0.0;1.0;9400356;1022;1022;88.44607310779028;0.225
8;1024;1;8;b;b;1;0.471192;0.471192;;19.950161;19.950161;20.386633;0.0;1.0;9400356;1022;1022;88.66737975177847;0.225
8;1024;1;8;c;c;1;0.100285;0.100285;;93.736595;93.736595;20.386633;2640.0;1.0;9400356;1022;1022;95.57417360522511;0.9807713495403486
8;1024;1;8;d;d;1;0.10455;0.10455;;89.912198;89.912198;20.386633;2640.0;1.0;9400356;1022;1022;91.67533237685318;0.9807713495403486
8;1024;20;1;a;a;1;14.153319;14.153319;;115.000472;115.000472;3221.352424;0.0;1.0;1627638336;984;984;460.2755274575525;0.2498513674197384
8;1024;20;1;b;b;1;11.480453;11.480453;;141.774752;141.774752;3221.352424;0.0;1.0;1627638336;984;984;567.4363518582411;0.2498513674197384
8;1024;20;1;c;c;1;2.788045;2.788045;;583.792044;583.792044;3221.352424;9216.0;1.0;1627638336;984;984;51.39869980577789;11.358108108108109
8;1024;20;1;d;d;1;5.522838;5.522838;;294.710486;294.710486;3221.352424;9216.0;1.0;1627638336;984;984;25.947146738687607;11.358108108108109
8;1024;20;2;a;a;1;16.170445;16.170445;;100.655134;100.655134;3221.352424;0.0;1.0;1627638336;984;984;402.86005536644166;0.2498513674197384
8;1024;20;2;b;b;1;13.532826;13.532826;;120.273349;120.273349;3221.352424;0.0;1.0;1627638336;984;984;481.3796000923976;0.2498513674197384
8;1024;20;2;c;c;1;2.746616;2.746616;;592.597708;592.597708;3221.352424;10752.0;1.0;1627638336;984;984;31.263116504090856;18.955170517051705
8;1024;20;2;d;d;1;10.866838;10.866838;;149.780306;149.780306;3221.352424;10752.0;1.0;1627638336;984;984;7.901817989740898;18.955170517051705
8;1024;20;8;a;a;1;36.459143;36.459143;;44.642803;44.642803;3221.352424;0.0;1.0;1627638336;984;984;178.67744088225004;0.2498513674197384
8;1024;20;8;b;b;1;37.662555;37.662555;;43.216355;43.216355;3221.352424;0.0;1.0;1627638336;984;984;172.96825369388773;0.2498513674197384
8;1024;20;8;c;c;1;11.056589;11.056589;;147.209811;147.209811;3221.352424;19968.0;1.0;1627638336;984;984;3.90446348326776;37.70295404814004
8;1024;20;8;d;d;1;11.054387;11.054387;;147.239132;147.239132;3221.352424;19968.0;1.0;1627638336;984;984;3.9052412404233716;37.70295404814004
8;2048;1;1;a;a;1;0.342408;0.342408;;110.029687;110.029687;81.546238;0.0;1.0;37675044;2046;2046;489.0208172706245;0.225
8;2048;1;1;b;b;1;0.360853;0.360853;;104.405578;104.405578;81.546238;0.0;1.0;37675044;2046;2046;464.02451967975884;0.225
8;2048;1;1;c;c;1;0.280781;0.280781;;134.179563;134.179563;81.546238;400.0;1.0;37675044;2046;2046;152.99775981993082;0.8770027997015936
