BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
32;256;1;1;a;a;1;0.162048;0.162048;;3.583161;3.583161;1.376055;0.0;1.0;580644;254;254;15.925157977883096;0.225
32;256;1;1;b;b;1;0.165018;0.165018;;3.518679;3.518679;1.376055;0.0;1.0;580644;254;254;15.638536402089468;0.225
32;256;1;1;c;c;1;0.144128;0.144128;;4.028669;4.028669;1.376055;4624.0;1.0;580644;254;254;3.843805506216696;1.0480938628158845
32;256;1;1;d;d;1;0.14464;0.14464;;4.014408;4.014408;1.376055;4624.0;1.0;580644;254;254;3.830199115044248;1.0480938628158845
32;256;1;2;a;a;1;0.146003;0.146003;;3.976927;3.976927;1.376055;0.0;1.0;580644;254;254;17.67525324822093;0.225
32;256;1;2;b;b;1;0.142882;0.142882;;4.063812;4.063812;1.376055;0.0;1.0;580644;254;254;18.061337327305047;0.225
32;256;1;2;c;c;1;0.142797;0.142797;;4.066226;4.066226;1.376055;8976.0;1.0;580644;254;254;3.8186796641386023;1.064823508699862
32;256;1;2;d;d;1;0.147026;0.147026;;3.949271;3.949271;1.376055;8976.0;1.0;580644;254;254;3.7088406132248717;1.064823508699862
32;256;1;8;a;a;1;0.144123;0.144123;;4.028803;4.028803;1.376055;0.0;1.0;580644;254;254;17.90581655946657;0.225
32;256;1;8;b;b;1;0.143974;0.143974;;4.032967;4.032967;1.376055;0.0;1.0;580644;254;254;17.924347451623213;0.225
32;256;1;8;c;c;1;0.148429;0.148429;;3.911936;3.911936;1.376055;35088.0;1.0;580644;254;254;3.6298028013393613;1.0777254773854423
32;256;1;8;d;d;1;0.143811;0.143811;;4.037544;4.037544;1.376055;35088.0;1.0;580644;254;254;3.746361543970907;1.0777254773854423
32;256;20;1;a;a;1;0.363878;0.363878;;215.535568;215.535568;165.485517;0.0;1.0;78428736;216;216;862.656077036809;0.2498513674197384
