BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
16;512;20;1;b;b;1;1.469133;1.469133;;254.912219;254.912219;746.194192;0.0;1.0;374499904;472;472;1020.2553152097189;0.2498513674197384
16;512;20;1;c;c;1;0.642866;0.642866;;582.547733;582.547733;746.194192;12544.0;1.0;374499904;472;472;18.947550500415325;30.745260713309936
16;512;20;1;d;d;1;1.334886;1.334886;;280.548154;280.548154;746.194192;12544.0;1.0;374499904;472;472;9.124926023645466;30.745260713309936
16;512;20;2;a;a;1;2.368205;2.368205;;158.136615;158.136615;746.194192;0.0;1.0;374499904;472;472;632.9227207948636;0.2498513674197384
16;512;20;2;b;b;1;2.297037;2.297037;;163.036096;163.036096;746.194192;0.0;1.0;374499904;472;472;652.532263085009;0.2498513674197384
16;512;20;2;c;c;1;0.66688;0.66688;;561.570164;561.570164;746.194192;16128.0;1.0;374499904;472;472;12.21919385796545;45.958036191134426
16;512;20;2;d;d;1;2.666189;2.666189;;140.462634;140.462634;746.194192;16128.0;1.0;374499904;472;472;3.056323463940478;45.958036191134426
16;512;20;8;a;a;1;7.819821;7.819821;;47.891109;47.891109;746.194192;0.0;1.0;374499904;472;472;191.67839673056457;0.2498513674197384
16;512;20;8;b;b;1;7.804467;7.804467;;47.985327;47.985327;746.194192;0.0;1.0;374499904;472;472;192.05549232253784;0.2498513674197384
16;512;20;8;c;c;1;2.718907;2.718907;;137.739129;137.739129;746.194192;37632.0;1.0;374499904;472;472;1.98865794232756;69.26235736944274
16;512;20;8;d;d;1;5.420595;5.420595;;69.088337;69.088337;746.194192;37632.0;1.0;374499904;472;472;0.9974875451864602;69.26235736944274
16;1024;1;1;a;a;1;0.099922;0.099922;;94.077315;94.077315;20.386633;0.0;1.0;9400356;1022;1022;418.1197333920458;0.225
16;1024;1;1;b;b;1;0.102861;0.102861;;91.389104;91.389104;20.386633;0.0;1.0;9400356;1022;1022;406.1729907350697;0.225
16;1024;1;1;c;c;1;0.100352;0.100352;;93.673827;93.673827;20.386633;1296.0;1.0;9400356;1022;1022;94.53077168367348;0.9909347660723532
